file,step,wall_time,tag,value
./test/events.out.tfevents.1687340060.iGpu25,1200000,1687340601.6996243,ray/tune/episode_reward_max,1175.0
./test/events.out.tfevents.1687340060.iGpu25,1220000,1687340610.159034,ray/tune/episode_reward_max,1400.0
./test/events.out.tfevents.1687340060.iGpu25,1240000,1687340618.6521378,ray/tune/episode_reward_max,2250.0
./test/events.out.tfevents.1687340060.iGpu25,1260000,1687340628.0426288,ray/tune/episode_reward_max,2250.0
./test/events.out.tfevents.1687340060.iGpu25,1280000,1687340636.4542842,ray/tune/episode_reward_max,1800.0
./test/events.out.tfevents.1687340060.iGpu25,1300000,1687340644.9308267,ray/tune/episode_reward_max,1850.0
./test/events.out.tfevents.1687340060.iGpu25,1320000,1687340654.2889447,ray/tune/episode_reward_max,1475.0
./test/events.out.tfevents.1687340060.iGpu25,1340000,1687340663.1001933,ray/tune/episode_reward_max,1600.0
./test/events.out.tfevents.1687340060.iGpu25,1360000,1687340671.8902066,ray/tune/episode_reward_max,1600.0
./test/events.out.tfevents.1687340060.iGpu25,1380000,1687340680.3872252,ray/tune/episode_reward_max,1750.0
./test/events.out.tfevents.1687340060.iGpu25,1400000,1687340688.844028,ray/tune/episode_reward_max,1750.0
./test/events.out.tfevents.1687340060.iGpu25,1420000,1687340697.3311315,ray/tune/episode_reward_max,1725.0
./test/events.out.tfevents.1687340060.iGpu25,1440000,1687340705.9790907,ray/tune/episode_reward_max,1575.0
./test/events.out.tfevents.1687340060.iGpu25,1460000,1687340714.4975047,ray/tune/episode_reward_max,1350.0
./test/events.out.tfevents.1687340060.iGpu25,1480000,1687340723.1067193,ray/tune/episode_reward_max,1650.0
./test/events.out.tfevents.1687340060.iGpu25,1500000,1687340731.5368726,ray/tune/episode_reward_max,1625.0
./test/events.out.tfevents.1687340060.iGpu25,1520000,1687340740.0508509,ray/tune/episode_reward_max,1750.0
./test/events.out.tfevents.1687340060.iGpu25,1540000,1687340750.349843,ray/tune/episode_reward_max,1750.0
./test/events.out.tfevents.1687340060.iGpu25,1560000,1687340758.8723447,ray/tune/episode_reward_max,1425.0
./test/events.out.tfevents.1687340060.iGpu25,1580000,1687340767.300943,ray/tune/episode_reward_max,1700.0
./test/events.out.tfevents.1687340060.iGpu25,1600000,1687340775.7718537,ray/tune/episode_reward_max,1700.0
./test/events.out.tfevents.1687340060.iGpu25,1620000,1687340784.6195679,ray/tune/episode_reward_max,1450.0
./test/events.out.tfevents.1687340060.iGpu25,1640000,1687340793.1610656,ray/tune/episode_reward_max,1275.0
./test/events.out.tfevents.1687340060.iGpu25,1660000,1687340801.557857,ray/tune/episode_reward_max,1425.0
./test/events.out.tfevents.1687340060.iGpu25,1680000,1687340810.0771346,ray/tune/episode_reward_max,1425.0
./test/events.out.tfevents.1687340060.iGpu25,1700000,1687340818.5187268,ray/tune/episode_reward_max,2325.0
./test/events.out.tfevents.1687340060.iGpu25,1720000,1687340827.1462579,ray/tune/episode_reward_max,2325.0
./test/events.out.tfevents.1687340060.iGpu25,1740000,1687340835.745434,ray/tune/episode_reward_max,1350.0
./test/events.out.tfevents.1687340060.iGpu25,1760000,1687340845.6386304,ray/tune/episode_reward_max,1350.0
