uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param2,Run1,Run2,Run3,,There should be another similar sheet on excel or google sheets. Find it  and seggregate it
t4vacgho,DemonAttackNoFrameskip-v4,SpaceDemo,,SOM,,0.9,,,1.a_DemonAttackNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_03_02_16_35,1.a_DemonAttackNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_03_04_19_20,1.a_DemonAttackNoFrameskip-v4_singlegame_full_1CHAN_SOM_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_03_06_22_07,,
ozxjfi9w,DemonAttackNoFrameskip-v4,,,,,,,,,,,,
dkhsuyeu,DemonAttackNoFrameskip-v4,,,,,,,,,,,,
sc4h5qwz,,,,,,,,,,,,,
ytfgap10,SpaceInvadersNoFrameskip-v4,None,1CHAN,E2E,Triplet,,,,1.a_SpaceInvadersNoFrameskip-v4_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_17_18_44_06,1.a_SpaceInvadersNoFrameskip-v4_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_17_13_49_20,1.a_SpaceInvadersNoFrameskip-v4_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_11_15_12_08,,
ve084mlh,SpaceInvadersNoFrameskip-v4,,,,,,,,,,,,
trhntesf,SpaceInvadersNoFrameskip-v4,None,,Random,,,,,1.a_SpaceInvadersNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_16_10_16_17,1.a_SpaceInvadersNoFrameskip-v4_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_10_17_13_36_39,**,,
o48l1ukg,SpaceInvadersNoFrameskip-v4,,,,,,,,,,,,
llbtzh5l,SpaceInvadersNoFrameskip-v4,SpaceDemo,,VEP,,4,-1,4,1.a_SpaceInvadersNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_4.0_-1.0_4.0_same_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_12_45_25,1.a_SpaceInvadersNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_4.0_-1.0_4.0_same_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_14_40_13,1.a_SpaceInvadersNoFrameskip-v4_singlegame_full_1CHAN_NVEP_ATARI_EXPERT_1CHAN_SPACEDEMO_STANDARD_4.0_-1.0_4.0_same_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_18_16_35_32,,
xzupecpg,SpaceInvadersNoFrameskip-v4,,,,,,,,,,,,
