uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param3,Batch size,nepoch,Run1,Run2,Run3,There should be another similar sheet on excel or google sheets. Find it  and seggregate it,
nwy4s5jm,Union_Square,AllUnionWall,,VEP,Triplet,,,,,,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_18_12_03_59,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_19_01_16_02,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_19_05_43_08,,
c1cdfmrv,Union_Square,,,,,,,,,,,,,,
0wbe4uju,Union_Square,,,TCN,,,,,64,,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_07_04_32,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_10_18_54,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_13_49_43,,
2cyc69hg,Union_Square,,,,,,,,,,,,,,
nb0koktl,Union_Square,,,,,,,,,,,,,,
9u8ryysm,Union_Square,,,VIP,,,,,,,1.a_Union_Square_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_15_39_49,1.a_Union_Square_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_18_07_48,1.a_Union_Square_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_20_42_01,,
atrtc3z1,Union_Square,,,,,,,,,,,,,,
io1u1n36,Union_Square,,,,,,,,,,,,,,
hplt88wu,Union_Square,,,SOM,,0.9,,,,,1.a_Union_Square_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_20_39_22,1.a_Union_Square_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_00_52_32,1.a_Union_Square_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_04_45_56,,
5t4ijxu8,Union_Square,,,,,,,,,,,,,,
c40optcu,Union_Square,,,VAE,,,,,,,,,,,
myzrgweq,Union_Square,,,,,,,,,,,,,,
1wvei34f,Union_Square,,,,,,,,,,,,,,
fvl0mmru,Union_Square,AllUnionHudsonWall,,VEP,Triplet,2,,,,0.25,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_12_36_02,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_15_26_34,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_18_55_44,,
