uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param3,Batch size,nepoch,Run1,Run2,Run3,There should be another similar sheet on excel or google sheets. Find it  and seggregate it,
l1c841nn,Wall_Street,,,VIP,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_09_53_46,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_14_12_02,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_18_22_50,,
pf0osers,Wall_Street,,,,,,,,,,,,,,
a16zj2jd,Wall_Street,,,SOM,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_20_39_25,1.a_Wall_Street_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_23_14_00,1.a_Wall_Street_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_01_48_20,,
7rmxm04z,Wall_Street,,,,,,,,,,,,,,
ojj8cyj6,Wall_Street,,,,,,,,,,,,,,
m10yet81,Wall_Street,,,,,,,,,,,,,,
r7y32sq0,Wall_Street,,,,,,,,,,,,,,
rnyiwekx,Wall_Street,AllUnionHudsonWall,,VEP,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_12_36_35,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_15_02_44,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_17_29_25,,
p43jbix2,Wall_Street,,,,,,,,,,,,,,
geq04q10,Wall_Street,,,TCN,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_17_33_27,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_14_55_28,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_12_17_10,,
62h3x53m,Wall_Street,,,,,,,,,,,,,,
iho726x4,Wall_Street,,,VIP,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_02_30_43,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_05_02_49,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_07_33_27,,
1l0xyi9z,Wall_Street,,,,,,,,,,,,,,
ng4mo13b,Wall_Street,,,SOM,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_16_14_49,1.a_Wall_Street_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_18_50_57,1.a_Wall_Street_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_21_26_15,,
918fqqf2,Wall_Street,,,,,,,,,,,,,,
slb1grxt,Wall_Street,,,,,,,,,,,,,,
95tkd3f4,Wall_Street,AllUnionHudsonWallCMU,,VEP,,,,,,0.25,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_03_13_47,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_05_51_16,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_08_28_55,,
r2d5bnv9,Wall_Street,,,VEP,,,,,,1,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_1.0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_13_13_06,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_1.0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_15_43_53,1.a_Wall_Street_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_1.0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_18_17_59,,
rjurks29,Wall_Street,,,TCN,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_14_35_09,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_17_13_56,1.a_Wall_Street_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_19_51_30,,
brt2qopq,Wall_Street,,,,,,,,,,,,,,
qhdy3xn0,Wall_Street,,,VIP,,,,,,,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_23_09_59_30,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_23_13_08_41,1.a_Wall_Street_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_23_16_18_07,,
nf8qa8x8,Wall_Street,,,,,,,,,,,,,,
ncla72d6,Wall_Street,,,SOM,,,,,,,**,**,**,,
nlovqxi7,,,,,,,,,,,,,,,
9psavbt7,,,,,,,,,,,,,,,
jvkysmml,Hudson_River,,1CHAN,E2E,,,,,,,1.a_Hudson_River_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_14_22_48_56,1.a_Hudson_River_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_14_19_37_55,1.a_Hudson_River_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_14_15_58_18,,
chmzq71a,Hudson_River,,4STACK,,,,,,,,,,,,
8ho8qpnh,Hudson_River,,1CHAN,Random,,,,,,,1.a_Hudson_River_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_15_16_23_10,1.a_Hudson_River_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_15_16_33_04,??,,
8vfm5ffo,Hudson_River,,4STACK,,,,,,,,,,,,
95mh3ncn,Hudson_River,UnionWall,,VEP,Triplet,##,,,,,1.a_Hudson_River_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_1.0_-1.0_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_15_23_43_26,1.a_Hudson_River_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_1.0_-1.0_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_15_16_27_52,??,,
z77thxag,Hudson_River,,,,InfoMAX,,,,,,,,,,
whc53c9u,Hudson_River,,,,NCE,,,,,,,,,,
f9g6e5t9,Hudson_River,,,,,,,,,,,,,,
qlxog0ls,Hudson_River,,,TCN,,2,,,,,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_15_17_56,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_26_05_37_47,??,,
fyxyej92,Hudson_River,,,,,,,,,,,,,,
1ezs2i3f,Hudson_River,,,,,,,,,,,,,,
zhg8nxdg,Hudson_River,,,VIP,,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_50.0_15.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_09_22_37,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_50.0_15.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_09_22_08,??,2nd one not 20M,
ht4cbvgo,Hudson_River,,,,,,,,,,,,,,
eemvzwu7,Hudson_River,,,,,,,,,,,,,,
l34rip3l,Hudson_River,,,SOM,,0.9,,,,,1.a_Hudson_River_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_14_44_46,1.a_Hudson_River_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_18_38_22,1.a_Hudson_River_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_17_21_21_04,,
ugli30j3,Hudson_River,,,,,,,,,,,,,,
v9c39gej,Hudson_River,,,VAE,,,,,,,,,,,
ccxdfso2,Hudson_River,,,,,,,,,,,,,,
czd3l1rr,Hudson_River,AllUnionWall,,VEP,Triplet,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_1.0_-1.0_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_19_20_28_00,1.a_Hudson_River_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_1.0_-1.0_1.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_20_01_55_11,##,,
sd5znx3n,Hudson_River,,,,,,,,,,,,,,
4n25z76l,Hudson_River,,,TCN,,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_07_05_21,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_10_18_30,??,,
y7xc9neg,Hudson_River,,,,,,,,,,,,,,
x4lhhsf7,Hudson_River,,,,,,,,,,,,,,
wxanipbm,Hudson_River,,,VIP,,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_09_50_54,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_12_59_32,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_16_07_34,,
dmyfgn7f,Hudson_River,,,,,,,,,,,,,,
6uqyqdzp,Hudson_River,,,,,,,,,,,,,,
p9kezk4n,Hudson_River,,,SOM,,0.9,,,,,1.a_Hudson_River_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_20_20_39_43,1.a_Hudson_River_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_00_04_42,1.a_Hudson_River_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_03_29_07,,
t1ewtozt,Hudson_River,,,,,,,,,,,,,,
jupk0ffs,Hudson_River,,,VAE,,,,,,,,,,,
ranlsa5h,Hudson_River,,,,,,,,,,,,,,
vlnpgosn,Hudson_River,,,,,,,,,,,,,,
2qut8got,Hudson_River,AllUnionHudsonWall,,VEP,Triplet,2,,,,,1.a_Hudson_River_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_12_37_05,1.a_Hudson_River_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_16_07_51,##,,
u59u9gg0,Hudson_River,,,,,,,,,,,,,,
jdqjblrk,Hudson_River,,,,,,,,,,,,,,
t2gsexqk,Hudson_River,,,,,,,,,,,,,,
2ie2ojy9,Hudson_River,,,TCN,,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_12_18_05,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_15_24_01,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_18_24_41,,
20xnznba,Hudson_River,,,,,,,,,,,,,,
4jbkpefg,Hudson_River,,,,,,,,,,,,,,
jwlepd0b,Hudson_River,,,VIP,,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_02_30_52,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_04_56_12,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_07_21_54,,
ms66ttyc,Hudson_River,,,,,,,,,,,,,,
t7gyn4xc,Hudson_River,,,,,,,,,,,,,,
sw0lsjra,Hudson_River,,,SOM,,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_16_14_27,1.a_Hudson_River_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_19_36_50,1.a_Hudson_River_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_23_00_24,,
gyc4opnz,Hudson_River,,,,,,,,,,,,,,
0lxqwd6f,Hudson_River,,,,,,,,,,,,,,
9ll5po80,Hudson_River,,,,,,,,,,,,,,
ynn4r1pw,Hudson_River,,,,,,,,,,,,,,
5pmu4upc,Hudson_River,,,,,,,,,,,,,,
yuwa4ler,Hudson_River,AllUnionHudsonWallCMU,,VEP,,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_09_49_17,1.a_Hudson_River_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_06_27_11,1.a_Hudson_River_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.25.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_03_03_16_56,,
w1twehlp,Hudson_River,,,,,,,,,,,,,,
yzhxat8t,Hudson_River,,,,,,,,,,,,,,
13edpxlp,Hudson_River,,,,,,,,,,,,,,
8eearoek,Hudson_River,,,TCN,,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_23_05_24_37,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_21_46_35,1.a_Hudson_River_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_14_34_13,,
4fvjzd44,Hudson_River,,,,,,,,,,,,,,
5vpcz4ud,Hudson_River,,,,,,,,,,,,,,
ato2llv7,Hudson_River,,,VIP,,,,,,,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_23_09_58_03,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_23_13_11_28,1.a_Hudson_River_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALLCMU_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_23_16_39_44,,
asnsrqag,Hudson_River,,,,,,,,,,,,,,
3pwghipx,Hudson_River,,,,,,,,,,,,,,
i1a6b7wk,Hudson_River,,,SOM,,,,,,,**,**,**,,
zgf92icl,Hudson_River,,,,,,,,,,,,,,
kf50sor8,Hudson_River,,,,,,,,,,,,,,
qohm3jo2,,,,,,,,,,,,,,,
3otq9njg,,,,,,,,,,,,,,,
vz01v2re,CMU,,1CHAN,E2E,,,,,,,1.a_CMU_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_11_54_55,1.a_CMU_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_18_17_08,1.a_CMU_singlegame_full_e2e_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_21_00_41_59,,
aptlybv9,CMU,,,Random,,,,,,,1.a_CMU_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_15_44_31,1.a_CMU_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_21_28_10,1.a_CMU_singlegame_full_random_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_21_04_04_07,,
cvpsa4pn,CMU,,,,,,,,,,,,,,
krwp743g,CMU,UnionWall,1CHAN,VEP,,2,-1,2,,,1.a_CMU_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_19_21_58_45,1.a_CMU_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_19_21_59_23,1.a_CMU_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_00_51_39,,
1hwu6av2,CMU,,,,,,,,,,,,,,
8qbsly4f,CMU,,,TCN,,2,,,,,1.a_CMU_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_11_51_41,1.a_CMU_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_15_12_40,1.a_CMU_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_2.0_32_0_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_19_55_06,,
yfxb1b4w,CMU,,,,,,,,,,,,,,
l3nhl105,CMU,,,SOM,,,,,,,1.a_CMU_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_21_00_45_47,1.a_CMU_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_17_51_37,1.a_CMU_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_UNIONWALL_STANDARD_0.9_32_32_0.0001_0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_11_20_11_00_12,,
nhmnprv3,CMU,,,,,,,,,,,,,,
