,DemonAttackNoFrameskip-v4, SpaceInvadersNoFrameskip-v4
,443.0±243.7,518.5±196.8
e2e,525.0±315.1 / 140.5±92.6,505.0±69.5 / 210.5±146.5
random,120.5±68.8 / 93.5±35.2,316.5±128.1 / 145.0±93.7
SOM,214.5±80.9 / 206.0±86.0,406.0±133.5 / 449.5±141.2
TCN,176.0±59.2 / 315.5±398.6,342.0±84.3 / 317.5±54.5
VIP,122.5±72.6 / 144.5±79.5,402.0±115.2 / 200.5±98.9
VEP,320.5±186.2 / 199.0±74.1,296.0±71.9 / 329.0±117.7
