#{"t_start": 1680424586.4106958, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
135.0,475,39.438073
40.0,364,70.855609
110.0,549,114.590434
90.0,540,158.297689
165.0,480,200.488296
335.0,815,266.382677
270.0,739,330.373034
85.0,386,362.643127
140.0,383,394.90371
60.0,356,426.43431
150.0,374,451.070779
50.0,277,480.511569
90.0,352,504.613177
330.0,824,578.236139
140.0,443,612.198505
190.0,680,667.179496
120.0,456,708.692687
290.0,741,772.710451
175.0,607,818.275007
325.0,956,902.842134
540.0,1158,1000.228678
175.0,567,1044.788513
210.0,459,1079.02353
210.0,615,1133.339932
35.0,354,1164.820771
115.0,293,1187.236331
430.0,806,1252.94508
515.0,930,1336.694478
155.0,466,1371.236394
235.0,596,1423.901337
200.0,654,1478.205694
150.0,519,1521.433755
210.0,584,1566.438281
210.0,618,1619.663407
415.0,624,1673.181819
230.0,613,1726.319517
125.0,505,1769.223088
260.0,588,1814.306213
430.0,975,1899.323344
285.0,595,1944.598529
105.0,375,1976.532264
160.0,469,2018.445321
150.0,430,2052.029912
270.0,727,2115.687223
135.0,479,2150.581597
285.0,419,2184.941137
50.0,363,2216.585783
405.0,805,2282.268444
105.0,376,2314.366631
265.0,723,2377.938808
155.0,555,2422.196689
470.0,736,2486.021684
235.0,745,2550.347607
400.0,629,2603.913707
215.0,645,2657.968984
185.0,480,2692.789892
545.0,871,2767.663451
180.0,500,2810.52069
210.0,612,2863.613404
210.0,607,2909.253539
210.0,490,2951.871082
110.0,288,2974.127241
260.0,736,3037.988669
180.0,538,3081.756561
420.0,1096,3170.064759
55.0,308,3200.300742
30.0,256,3221.752431
255.0,645,3276.896718
45.0,292,3299.259778
100.0,435,3332.937527
235.0,556,3384.600613
285.0,729,3440.88783
260.0,580,3493.170719
450.0,778,3558.102625
115.0,361,3582.261588
570.0,791,3655.119688
225.0,612,3700.79725
710.0,1191,3806.505182
175.0,496,3841.731504
220.0,564,3893.597985
425.0,758,3958.035985
290.0,676,4012.886349
600.0,1094,4101.128238
20.0,259,4122.688718
95.0,385,4154.995981
40.0,361,4186.716311
230.0,566,4231.257597
705.0,1419,4351.85978
260.0,611,4404.914679
70.0,382,4437.181448
330.0,760,4501.691913
300.0,689,4556.831801
275.0,672,4611.524456
195.0,504,4654.356593
170.0,511,4697.462682
160.0,523,4740.8753
185.0,521,4784.215562
620.0,837,4858.190662
165.0,448,4892.181177
135.0,516,4935.344873
110.0,404,4968.152866
385.0,810,5034.042137
85.0,289,5063.693698
265.0,850,5130.587072
275.0,1007,5216.471473
205.0,572,5261.12572
300.0,564,5313.041008
150.0,461,5347.359101
410.0,516,5390.630838
210.0,813,5465.045291
210.0,502,5500.456582
310.0,677,5562.767419
260.0,611,5608.646355
120.0,493,5651.202781
165.0,624,5704.769373
180.0,514,5747.859133
360.0,699,5803.40955
285.0,728,5866.96117
315.0,712,5922.77094
140.0,579,5975.062954
155.0,585,6020.093952
410.0,623,6073.523252
185.0,473,6115.558337
315.0,711,6171.251749
145.0,489,6213.726904
155.0,494,6256.304331
210.0,603,6309.281242
120.0,487,6344.310168
180.0,602,6397.27782
545.0,1068,6484.846681
295.0,758,6550.763296
210.0,660,6605.062116
425.0,1076,6692.670798
225.0,640,6746.472202
260.0,612,6799.646831
220.0,624,6853.080903
230.0,732,6916.830673
420.0,1237,7016.326677
255.0,702,7079.289612
330.0,884,7146.98709
260.0,589,7199.411688
340.0,783,7264.362412
270.0,714,7327.592044
410.0,634,7373.92879
120.0,479,7416.072186
180.0,605,7469.10377
260.0,720,7525.095178
775.0,1288,7637.231197
210.0,498,7679.877747
125.0,479,7722.019461
245.0,608,7775.126623
190.0,510,7818.138362
300.0,656,7872.53267
140.0,487,7907.476736
340.0,685,7969.912563
310.0,889,8045.144965
800.0,1672,8185.682061
320.0,672,8240.427801
370.0,736,8296.792974
210.0,630,8350.469154
380.0,676,8405.249351
190.0,602,8458.117787
330.0,807,8523.751229
500.0,845,8597.960952
145.0,514,8641.068925
160.0,529,8685.627206
125.0,488,8728.068815
210.0,608,8773.746434
210.0,578,8825.919559
280.0,555,8870.137291
235.0,759,8934.690251
295.0,664,8989.200885
145.0,586,9041.674596
340.0,880,9109.316522
460.0,775,9174.085711
235.0,601,9226.897371
315.0,700,9282.337672
305.0,741,9346.338211
205.0,719,9409.718945
410.0,889,9484.946695
245.0,616,9530.927904
425.0,687,9593.478056
210.0,599,9638.948465
720.0,929,9715.317783
275.0,736,9780.276016
330.0,733,9843.944192
270.0,808,9909.771151
260.0,579,9961.954705
200.0,504,9997.391425
365.0,877,10072.284914
425.0,895,10147.641188
105.0,312,10177.985456
215.0,884,10245.693111
440.0,795,10318.474695
520.0,945,10395.420202
290.0,648,10449.437433
140.0,480,10491.607442
235.0,565,10536.04537
105.0,369,10567.904944
105.0,362,10592.146634
470.0,939,10676.134851
110.0,380,10708.237353
155.0,519,10751.601236
95.0,439,10785.287364
395.0,703,10840.734053
105.0,352,10873.252444
115.0,502,10916.039584
215.0,463,10957.832637
545.0,1148,11047.591921
445.0,774,11112.451799
285.0,608,11165.531339
190.0,925,11241.900744
185.0,599,11294.654875
185.0,595,11339.965841
795.0,1189,11445.409348
230.0,620,11491.219834
155.0,595,11543.941145
160.0,545,11587.928544
120.0,490,11630.447781
155.0,633,11684.090259
185.0,597,11736.915223
390.0,814,11802.895708
185.0,505,11845.749793
270.0,680,11900.664795
105.0,471,11943.842048
390.0,827,12010.062623
125.0,470,12051.966163
110.0,515,12095.103085
240.0,575,12139.940023
330.0,887,12215.291626
105.0,356,12246.827609
355.0,863,12313.992819
160.0,409,12346.898129
160.0,567,12398.840569
390.0,733,12455.047329
230.0,583,12507.48277
290.0,762,12572.018513
115.0,496,12614.681732
165.0,640,12668.460502
110.0,370,12692.964709
190.0,419,12733.495127
395.0,956,12810.614056
750.0,1162,12908.171626
165.0,491,12950.632536
550.0,1155,13048.867076
75.0,310,13071.731798
245.0,604,13124.68106
105.0,314,13147.704006
345.0,885,13222.92517
360.0,736,13286.78249
245.0,650,13340.877129
520.0,892,13416.21987
135.0,424,13449.596287
195.0,526,13493.135001
115.0,387,13525.515201
205.0,468,13560.075836
250.0,590,13612.633023
245.0,574,13657.357782
420.0,584,13709.700596
420.0,597,13755.170135
500.0,925,13838.716392
175.0,495,13873.866147
325.0,848,13948.074039
350.0,712,14011.177488
425.0,806,14076.819263
205.0,485,14120.283194
290.0,682,14175.228584
200.0,537,14218.912569
400.0,683,14273.818555
490.0,857,14348.369967
240.0,944,14425.025129
495.0,873,14499.822434
260.0,697,14555.09937
435.0,988,14640.500144
105.0,462,14674.76482
320.0,750,14738.933146
285.0,588,14791.446225
155.0,499,14834.108385
370.0,590,14879.355101
320.0,748,14943.607429
265.0,650,14997.74469
260.0,683,15052.722655
315.0,938,15136.734307
345.0,791,15203.204581
215.0,599,15248.490645
120.0,485,15290.872141
105.0,368,15322.692446
245.0,616,15375.857986
320.0,768,15440.329107
265.0,1120,15529.138869
160.0,482,15571.45408
345.0,896,15646.96524
245.0,794,15712.277525
340.0,685,15767.369451
310.0,564,15819.144142
215.0,495,15854.252831
300.0,697,15917.046752
565.0,678,15971.91308
245.0,829,16038.225645
180.0,609,16091.167397
365.0,713,16154.372211
320.0,779,16219.301445
545.0,1127,16309.337983
125.0,444,16350.653972
320.0,805,16416.26529
265.0,550,16460.320636
270.0,650,16514.459685
760.0,1153,16611.522352
555.0,651,16665.625755
305.0,731,16729.270441
360.0,741,16793.238132
410.0,845,16859.916221
320.0,871,16934.722683
255.0,483,16976.980199
130.0,513,17020.093806
200.0,562,17064.435495
170.0,486,17106.730317
255.0,483,17141.517918
475.0,978,17226.592025
470.0,776,17291.324989
300.0,830,17358.708232
415.0,796,17431.422137
180.0,454,17465.539949
195.0,621,17518.90464
235.0,505,17561.687034
245.0,658,17615.991048
270.0,501,17658.741693
520.0,898,17734.182925
305.0,831,17800.481145
185.0,509,17843.478784
95.0,538,17887.150071
300.0,825,17953.204647
375.0,788,18025.682599
295.0,681,18080.485522
105.0,347,18104.364355
295.0,601,18157.12382
320.0,688,18212.273393
330.0,780,18277.377599
380.0,676,18339.61697
255.0,742,18396.173644
235.0,520,18440.512243
200.0,605,18493.472865
435.0,1041,18580.121528
430.0,1016,18666.026955
250.0,613,18719.141932
340.0,733,18775.436094
590.0,757,18839.654704
395.0,927,18915.926492
360.0,656,18977.734184
125.0,494,19012.767085
365.0,751,19076.884806
300.0,676,19131.558268
465.0,854,19205.784159
330.0,884,19280.907072
305.0,703,19336.383851
435.0,689,19399.044947
240.0,477,19433.76949
120.0,484,19476.098812
365.0,838,19543.754194
280.0,686,19606.173449
435.0,838,19672.513803
330.0,759,19736.846584
105.0,355,19768.255106
500.0,692,19823.441662
200.0,527,19866.792732
260.0,616,19919.990235
445.0,744,19983.779397
255.0,546,20027.680507
265.0,623,20081.061386
335.0,735,20137.396316
405.0,906,20213.123207
235.0,575,20265.116156
265.0,689,20320.281494
375.0,835,20394.075823
365.0,887,20461.904318
315.0,864,20536.551111
290.0,860,20612.147639
280.0,668,20666.713241
360.0,813,20732.443487
240.0,545,20776.368724
475.0,901,20851.865285
245.0,688,20914.257445
440.0,1090,21002.010266
295.0,727,21065.593281
240.0,607,21118.594938
185.0,487,21153.527313
365.0,621,21206.863812
325.0,805,21272.455646
190.0,598,21325.131934
195.0,518,21368.250355
210.0,580,21413.022345
470.0,1082,21508.111376
210.0,457,21542.2883
780.0,1088,21637.590669
215.0,472,21673.370324
575.0,845,21747.292309
225.0,490,21789.736001
435.0,617,21835.551443
240.0,530,21879.092463
555.0,893,21954.41627
410.0,832,22028.175524
230.0,505,22071.03529
290.0,702,22126.416652
215.0,517,22169.576367
365.0,824,22235.635074
240.0,660,22297.436861
210.0,588,22342.51965
255.0,616,22395.634002
925.0,1044,22482.362404
315.0,761,22546.866243
390.0,897,22622.200982
255.0,574,22666.838386
575.0,682,22721.809455
390.0,655,22777.269027
365.0,603,22830.157863
415.0,802,22895.583204
140.0,402,22928.22709
295.0,537,22979.183189
365.0,785,23044.20625
445.0,713,23099.920813
450.0,743,23163.696768
835.0,1036,23250.150391
305.0,577,23294.908583
470.0,1104,23390.606636
335.0,708,23446.187519
420.0,760,23510.543206
295.0,673,23565.246121
315.0,594,23617.814377
400.0,799,23683.183399
270.0,739,23747.034191
345.0,580,23791.857764
185.0,427,23833.753926
405.0,716,23889.757397
600.0,1565,24019.744384
615.0,779,24084.636097
515.0,677,24146.792187
215.0,527,24190.153478
265.0,552,24234.248487
210.0,550,24278.205443
185.0,494,24320.748023
375.0,1032,24407.160224
365.0,723,24470.588607
230.0,543,24514.444257
275.0,741,24570.852439
315.0,670,24632.900075
310.0,822,24699.00493
260.0,641,24752.776189
245.0,588,24797.826655
320.0,526,24848.552517
270.0,727,24904.592039
290.0,531,24949.183272
420.0,929,25025.517174
700.0,1145,25122.281187
200.0,482,25164.615743
265.0,630,25218.148619
485.0,982,25295.799967
575.0,756,25360.027252
160.0,448,25401.39961
530.0,739,25457.792396
155.0,462,25499.432515
420.0,865,25574.009185
300.0,915,25650.01519
365.0,809,25715.657503
555.0,1139,25812.180163
220.0,496,25854.764939
320.0,707,25910.330081
385.0,639,25964.246862
380.0,586,26017.978749
420.0,603,26063.549837
450.0,867,26138.143337
470.0,843,26212.201253
410.0,787,26277.281848
390.0,651,26331.448923
240.0,525,26374.852384
590.0,830,26441.060172
575.0,778,26506.036175
535.0,904,26581.646112
345.0,709,26644.672516
495.0,926,26720.844087
320.0,890,26796.108766
280.0,634,26849.754593
495.0,987,26927.663804
365.0,636,26981.468524
185.0,461,27023.149189
300.0,597,27068.483188
480.0,784,27134.614005
175.0,602,27187.492825
520.0,695,27242.858782
315.0,602,27295.670739
260.0,517,27338.874346
230.0,609,27391.851921
245.0,505,27434.783626
310.0,630,27488.456224
285.0,598,27533.769469
320.0,897,27609.409122
235.0,604,27662.220604
715.0,816,27728.078408
120.0,474,27770.098618
205.0,542,27813.998913
515.0,1020,27900.040018
160.0,440,27933.743925
295.0,682,27988.791038
530.0,1104,28084.59113
215.0,578,28129.273265
620.0,1065,28225.105944
260.0,752,28289.36484
390.0,744,28345.990643
275.0,749,28410.053288
305.0,529,28453.512846
525.0,1091,28548.92732
345.0,811,28614.687743
500.0,858,28681.744049
335.0,707,28744.891447
350.0,1070,28832.358772
300.0,749,28896.502271
230.0,597,28949.105949
265.0,506,28991.869186
395.0,807,29057.531295
380.0,879,29132.600768
445.0,1057,29219.669293
460.0,800,29286.209734
340.0,789,29351.34796
300.0,825,29417.483864
600.0,1044,29511.628673
335.0,717,29567.440946
285.0,747,29631.499908
575.0,1081,29719.238538
355.0,770,29783.838031
390.0,635,29837.620544
215.0,546,29881.477568
345.0,753,29945.801394
285.0,894,30021.199304
305.0,688,30076.329449
380.0,676,30138.589161
320.0,599,30183.824016
385.0,659,30238.230413
500.0,1080,30334.384205
450.0,968,30411.660371
370.0,862,30486.050685
555.0,1047,30572.849514
295.0,606,30625.818827
315.0,701,30681.251986
345.0,718,30744.58657
270.0,577,30789.329023
545.0,856,30863.683268
340.0,885,30938.718549
355.0,766,30995.853269
505.0,784,31068.240349
215.0,438,31101.95748
265.0,602,31154.805455
275.0,546,31198.783533
305.0,640,31252.618884
270.0,602,31298.010132
345.0,828,31371.63804
110.0,376,31404.767808
435.0,843,31471.302516
770.0,985,31556.504761
230.0,538,31600.157058
215.0,620,31653.54259
1105.0,1245,31753.128929
285.0,557,31804.678419
240.0,496,31839.886214
210.0,507,31882.788503
255.0,608,31935.825573
260.0,500,31978.529045
245.0,625,32032.046589
495.0,1185,32129.949319
460.0,739,32193.791894
435.0,935,32270.233917
260.0,554,32314.388998
270.0,556,32358.580479
595.0,898,32434.101357
275.0,759,32499.680029
335.0,734,32563.420553
390.0,755,32627.637448
265.0,740,32684.114529
660.0,985,32769.221986
590.0,883,32844.377462
240.0,503,32887.17278
350.0,619,32940.460794
320.0,616,32986.319276
285.0,668,33040.861144
465.0,854,33115.080651
195.0,530,33158.540882
400.0,842,33232.490236
310.0,658,33286.842138
185.0,399,33319.484203
180.0,510,33362.47834
545.0,707,33418.1356
465.0,842,33492.145932
495.0,822,33558.080925
290.0,621,33612.516983
290.0,697,33667.891181
310.0,818,33741.329409
330.0,806,33806.991432
315.0,816,33872.987183
240.0,572,33924.985019
350.0,1070,34012.35271
460.0,735,34076.120864
440.0,891,34144.069503
265.0,574,34196.113823
285.0,690,34251.301659
620.0,860,34325.631347
230.0,545,34369.460333
220.0,615,34422.656132
215.0,653,34476.768955
265.0,689,34531.848135
425.0,818,34597.720884
570.0,786,34671.612304
365.0,1103,34759.80308
240.0,731,34823.51273
290.0,611,34869.153871
240.0,764,34933.640753
670.0,992,35018.813666
290.0,757,35083.168898
415.0,757,35147.524008
260.0,580,35192.336329
550.0,712,35255.507722
550.0,1068,35342.780081
405.0,803,35408.327691
520.0,700,35471.041195
445.0,780,35535.991764
540.0,645,35589.864286
130.0,445,35623.695578
290.0,648,35677.741815
545.0,1053,35765.868769
275.0,577,35818.018972
365.0,701,35873.419454
330.0,731,35936.916898
550.0,1105,36025.254714
510.0,695,36088.003874
215.0,544,36131.868638
245.0,607,36184.840003
550.0,1114,36273.46758
530.0,818,36339.489365
365.0,624,36392.876022
480.0,997,36478.399251
190.0,482,36520.64455
390.0,763,36585.09143
390.0,843,36651.803466
350.0,733,36715.588246
235.0,622,36768.941407
510.0,914,36845.835069
340.0,580,36890.634172
360.0,707,36953.633312
435.0,931,37030.020346
285.0,832,37096.428414
215.0,610,37149.560128
245.0,550,37193.597334
270.0,732,37257.363162
165.0,398,37289.919366
615.0,948,37366.687313
215.0,510,37409.690052
535.0,864,37484.183794
355.0,640,37538.247351
345.0,678,37593.132994
605.0,1152,37690.150389
360.0,680,37745.129057
320.0,918,37821.055134
305.0,754,37885.253589
880.0,974,37971.317953
185.0,398,38003.941934
320.0,576,38048.608244
150.0,400,38081.252237
260.0,637,38135.060225
895.0,1044,38221.797521
260.0,727,38285.312065
680.0,1108,38381.23045
625.0,1043,38467.991606
370.0,938,38544.510919
615.0,1008,38630.30428
210.0,616,38683.544789
325.0,771,38740.863143
210.0,616,38794.029859
235.0,603,38846.875116
310.0,725,38902.935349
570.0,752,38967.157131
