step,value
20000,35.0
40000,66.0
60000,66.0
80000,66.0
100000,66.0
120000,66.0
140000,66.0
160000,73.33333587646484
180000,73.33333587646484
200000,73.33333587646484
220000,73.33333587646484
240000,70.5999984741211
260000,71.88679504394531
280000,72.28070068359375
300000,72.93103790283203
320000,72.71186065673828
340000,74.26229858398438
360000,74.26229858398438
380000,74.26229858398438
400000,74.19355010986328
420000,74.19355010986328
440000,74.19355010986328
460000,74.19355010986328
480000,78.30000305175781
500000,77.30000305175781
520000,76.5999984741211
540000,77.30000305175781
560000,78.5999984741211
580000,78.0999984741211
600000,78.0999984741211
620000,78.0
640000,77.80000305175781
660000,77.80000305175781
680000,77.80000305175781
700000,77.9000015258789
720000,76.80000305175781
740000,75.30000305175781
760000,77.19999694824219
780000,80.80000305175781
800000,83.0
820000,93.44999694824219
840000,99.0999984741211
860000,107.0
880000,115.5999984741211
900000,126.19999694824219
920000,138.6999969482422
940000,152.0
960000,163.89999389648438
980000,167.64999389648438
1000000,185.6999969482422
1020000,197.3000030517578
1040000,209.9499969482422
1060000,206.10000610351562
1080000,214.39999389648438
1100000,210.3000030517578
1120000,206.5
1140000,191.5500030517578
1160000,203.1999969482422
1180000,204.6999969482422
1200000,200.0
1220000,197.8000030517578
1240000,205.25
1260000,189.25
1280000,190.10000610351562
1300000,194.25
1320000,195.14999389648438
1340000,182.39999389648438
1360000,197.6999969482422
1380000,198.3000030517578
1400000,209.89999389648438
1420000,206.35000610351562
1440000,194.3000030517578
1460000,192.4499969482422
1480000,173.60000610351562
1500000,164.60000610351562
1520000,163.75
1540000,169.75
1560000,164.89999389648438
1580000,176.9499969482422
1600000,167.25
1620000,163.8000030517578
1640000,163.4499969482422
1660000,165.64999389648438
1680000,173.0
1700000,159.14999389648438
1720000,165.0
1740000,158.5
1760000,154.4499969482422
1780000,153.14999389648438
1800000,160.0500030517578
1820000,160.0
1840000,157.60000610351562
1860000,157.85000610351562
1880000,146.0
1900000,141.25
1920000,149.0
1940000,144.39999389648438
1960000,149.25
1980000,149.85000610351562
2000000,150.10000610351562
2020000,161.1999969482422
2040000,160.0
2060000,161.64999389648438
2080000,173.25
2100000,177.8000030517578
2120000,171.35000610351562
2140000,163.1999969482422
2160000,159.4499969482422
2180000,146.9499969482422
2200000,161.25
2220000,151.9499969482422
2240000,151.10000610351562
2260000,142.35000610351562
2280000,139.9499969482422
2300000,150.3000030517578
2320000,150.4499969482422
2340000,152.3000030517578
2360000,164.6999969482422
2380000,149.35000610351562
2400000,151.5
2420000,143.60000610351562
2440000,150.75
2460000,153.10000610351562
2480000,161.60000610351562
2500000,152.25
2520000,149.25
2540000,152.8000030517578
2560000,151.8000030517578
2580000,161.60000610351562
2600000,169.3000030517578
2620000,156.5500030517578
2640000,147.0500030517578
2660000,150.1999969482422
2680000,141.35000610351562
2700000,146.0500030517578
2720000,144.85000610351562
2740000,151.75
2760000,156.85000610351562
2780000,148.10000610351562
2800000,144.6999969482422
2820000,138.89999389648438
2840000,144.64999389648438
2860000,148.5500030517578
2880000,146.4499969482422
2900000,141.5
2920000,149.1999969482422
2940000,159.3000030517578
2960000,151.4499969482422
2980000,138.3000030517578
3000000,126.75
3020000,138.4499969482422
